Question,Answer
4.3 When do I get the offer letter?,"Your offer letter is issued automatically once you upload your (and have confirmed your start and end dates on the dashboard, see §4.5) and we validate it - typically within an hour to one full working day of upload. signed institutional NOC There is a single offer letter on Vicharanashala letterhead; once your NOC is validated it is the operative offer for your college / employer records. (The earlier self-declaration / provisional-offer ""fast path"" was retired on 2026-05-27 and is no longer available - a signed institutional NOC is now the only way the offer letter is issued.) When it is issued, a notification will appear in the of samagama.in. Log in and click from the Offer Letter card on your dashboard. If you do not see it, do a hard refresh and log back in - or raise in Yaksha chat. #escalate The offer letter lives on your dashboard at samagama.in, not in your email."
4.4 Will I get a certificate?,"from Vicharanashala, IIT Ropar. The internship is genuinely demanding; candidates who drop out mid-way do not get a certificate. Finishing means something, because the bar is high. Yes - every intern who completes the internship gets a certificate "
4.5 How do I confirm my internship dates?,"Once you have opted into VINS in the chat with Yaksha (see §4.2), log in to samagama.in. On the dashboard, you will see a yellow card titled . The two date pickers pre-fill with sensible defaults for the current cohort. If those work for you, hit ""Save dates"". Otherwise edit them to your earliest realistic start - your end must be on or before . ""🗓️ Confirm your internship dates"" A green confirmation appears once saved. You can edit any time from the same card. You can save your dates uploading your NOC - both paths work. 31-Dec-26"
"4.6 I am a minor/major in AI student, can I join the programme? I don't need a NOC as I am from IIT Ropar",Minor/Major in AI course from IIT Ropar is a certification course and there will be a different track of internship equivalent to them. Kindly write to us separately for this. For you to be part of this internship programme you should be a registered student in a UG/PG programme with some university. This internship is exclusively meant for the students only and not for working professionals. 
4.7 How do I accept the offer letter?,"Once your formal offer letter arrives, accepting it has a precise form. Please follow it carefully - the form itself is the first attention-to-detail check of the internship. Reply All on the offer-letter thread - the email you received from already has on it; keep that address on your reply. In the body, paste the following acceptance statement , with your full name inserted and a date added: If the PDF shows only a ""Date"" Signature placement on the PDF. Reply on the same email Do not change the recipient fields. > I, [Full Name], confirm that I have read, understood, and accepted > all terms, conditions, and obligations set out in this offer letter > and in the program FAQ at samagama.in. I formally accept the offer > of Summer Internship 2026. no-reply@vicharanashala.ai exactly as printed"
4.8 What if I reply without using the exact acceptance format printed in the letter?,"The offer is , effective immediately, with no further correspondence. The withdrawal is final. withdrawn This is a deliberate policy. The acceptance statement is the first attention-to-detail check of the internship - every commit, every report, every patch you write during the internship is expected to match a stated specification. A candidate who cannot follow a written specification at the acceptance stage is not ready for the work that follows. Paraphrasing the statement (""I happily accept"", ""I gladly confirm"", unfilled Sending only a bare ""I accept"" or ""Yes, accepted"". undated What counts as : Missing the date. non-compliant"
4.9 I received a withdrawal email because I didn't accept the offer letter correctly. Can it be reversed?,"There is an appeal path, with conditions. Please do not reply to the withdrawal email itself The withdrawal stands by default. - replies to that thread are not read. To appeal, send a to: sudarshansudarshan@gmail.com fresh email"
4.10 What happens after I send my acceptance? My dashboard doesn't update.,"The dashboard tracks your NOC, your internship dates, and your offer letter - it track the acceptance email. After you send your acceptance reply, you will not see a new green tick or status change on the dashboard. This is normal and expected. does not We process acceptance emails manually. If your reply was compliant with the format described in §4.7, no further action is needed from your side; you are accepted, and the internship will proceed on the agreed dates. If your reply was non-compliant, you will receive a withdrawal email - see §4.9 for the appeal route. If several working days pass and you have heard nothing, log in to samagama.in and type in the Yaksha chat - we will check the state of your reply. #escalate "
4.11 Can I change my internship dates?,"yes - open the card on your dashboard and edit the dates at any time. Your end date must be on or before 31 December 2026. Before the offer letter is issued: no. Dates are final and will not be changed. If the confirmed dates do not work for you, please follow our LinkedIn page for announcements about future cohorts: linkedin.com/company/vicharanashala If you updated your NOC to reflect new dates before the offer letter was issued, upload the revised NOC via the dashboard. Confirm Internship Dates"
4.12 When and how do I get the Zoom link for the kickoff meeting?,"The kickoff orientation is held for the - i.e., candidates starting at the opening of the May–July window. The Zoom link is delivered through two channels: main summer cohort only chat, and the link is shown there. to your registered samagama.in address. Email - log in to samagama.in, open the Your Yaksha chat portal (mid-summer or beyond), there is no separate kickoff event for you. See §2.1 for the trade-offs that come with a later start. #escalate If your start date is later"
4.13 My NOC is not ready but my start date is approaching. What do I do?,"Get your signed institutional NOC uploaded as soon as you can. Your start date cannot be honoured until your official NOC is uploaded and validated by us - If your NOC is not in by your chosen start date, your start simply shifts to whenever it is validated. (The earlier self-declaration / provisional-offer option was retired on 2026-05-27 and is no longer accepted, so a signed institutional NOC is the only way forward.) the internship formally begins only after the NOC is validated. "
4.14 When does my internship actually begin? Will I receive a notification on the day?,"Your internship begins on the on the dashboard - the same date printed on your offer letter - If your validated NOC is not yet in on your start date, your start shifts to the day it is validated. There is no separate ""your internship has begun"" email, chat message, or dashboard notification on the day itself; the start date is the start date. start date you confirmed On the morning of your start date, log in to samagama.in. Yaksha will guide you through the Day-1 steps of the Bronze phase. If your dashboard appears unchanged on that morning, do a hard refresh and re-login. If it still looks the same, type in the chat and we will look at your specific case. You can review or change your confirmed dates via the card on your dashboard (see §4.5 to set, §4.11 for date-change rules). #escalate provided your official institutional NOC has been uploaded and validated by us by then."
4.15 Can I switch from VINS (online) to VISE (offline) after being selected?,"The two tracks are finalised at the interview stage, and we do not move candidates between them. VISE has a fixed on-campus capacity planned around mentor bandwidth, hostel availability, and stipend allocation - once the shortlist is set, it stays set. VINS is not a consolation track. The project, the mentor, and the certificate are the same as VISE - what differs is the mode (online) and the absence of a fellowship. Many interns find the online format more effective. Your best path forward is to confirm your VINS start dates and get your NOC uploaded - you're already in a strong position. "
4.16 Can I change my internship dates after the offer letter?,"Once your offer letter has been issued, the dates you confirmed are final. They will not be changed at this stage. No. If the confirmed dates do not work for you, please follow our LinkedIn page for announcements about future cohorts: linkedin.com/company/vicharanashala "
4.17 How do I get the link for the daily Zoom standups? Are they mandatory?,"Daily Zoom standup links are posted in the section on your samagama.in dashboard - look for the announcement bell at the top of the page. You are expected to check it daily before the session. Announcements We do send separate emails for daily standups. The announcement on your dashboard is the only delivery channel for the daily link. special proctored catch-up path on ViBe This is a full-time summer internship programme, and the daily standup is the primary touchpoint where progress, blockers, and the day's plan are communicated. Missing standups is treated as missing work. Attendance and participation are tracked against strict thresholds - see §10.7. not"
"4.18 How do I provide my Zoom ID, and why does it matter?","On your dashboard, just before you'll see a step called Enter the exact email address linked to your Zoom account - the one you use (or will use) to join the daily live sessions - and save it. ""Start the internship,"" This matters because we match your live-session attendance and participation using this email. If the Zoom ID you provide doesn't match the email you actually join Zoom with, your attendance won't be credited to you. So enter it carefully and be sure it is genuinely your Zoom account's email. ""Provide your Zoom ID."""
4.19 I saved the wrong Zoom ID - can I change it?,"Once saved, your Zoom ID is - please double-check before you submit. If you are certain you entered the wrong email, log in and tell us in the chat (type ) with your correct Zoom email, and our team will review and correct it for you. final and cannot be changed by you #escalate "
5.1 What will I work on?,"A real open-source project from Vicharanashala's portfolio - assigned based on your background and the lab's current needs. Areas range across AI/ML, web development, NLP, computer vision, agriculture-tech (Annam.AI), education-tech (ViBe), and open-source infrastructure. We do not pre-publish the exact problem; you choose to join knowing the lab will assign the project. "
5.2 How many hours per day?,"Plan for , sometimes more during the build phase. This is a full-time internship for the two-month window. Most candidates who drop out are juggling something else - VINS expects your full attention. 6 to 10 hours a day "
5.3 Who is my mentor?,"You will work with the lab's research and engineering team. The exact mentor depends on the project. The model is fluid - you will get help from a senior researcher one day, a peer the next, and someone else for a different question. That is how real open-source work happens. "
5.4 Is there a stipend?,"No. The internship is unpaid. Stellar performers may be recognised with a discretionary stipend at the lab's option, but this is not promised or expected. "
5.5 Do I need my own laptop? Should I preload any software?,"We prefer that you bring a laptop running . If you use Windows, please install a terminal that can SSH and run Unix-style commands - for example, is a clean choice; a tool such as also works. You will be SSH-ing into machines and using the command line as part of the work. Yes - a personal laptop is required. We do not maintain a fixed software-preload list - your mentor will guide you on the specific tools needed once your project is assigned. Linux or macOS"
5.6 I am using a different email on GitHub / Zoom / the learning platform. Is that okay?,"No. Progress tracking, mentor assignment, and certificate issuance are all tied to it. Mismatches between platforms cannot be retroactively corrected - ensure you use your registered email everywhere from day one. Your registered email is your sole identifier across all programme platforms. "
"5.7 Why has my mentor not been assigned yet, or contacted me on day 1?","Mentors are not assigned on day 1 of the internship. You will be assigned a mentor when you move on to the of VINS, which comes later in the timeline. Before that, you must complete the of the Bronze phase (see §1.3). Once coursework is complete and you are placed on a project, your mentor will reach out. project phase If you are looking for a Discord server, please note: we do not run a Discord server. See §6.1 for the official communication channels. mandatory coursework"
6.1 What are the official communication channels?,"samagama.in Official channels only - in this order: are posted here. We no longer send notifications by email. Log in and check the Announcements section regularly during working hours. Sessions are announced at least 1 hour before they begin. Announcements section on samagama.in. Yaksha chat Discussion forum. - as a last resort only, any question or concern. Use in chat to reach a human. #escalate WhatsApp support is cancelled."
7.1 My interview is not marked as complete on the dashboard - what do I do?,A data-sync issue sometimes occurs where the chat session closes but the interview record doesn't update to "completed." The team will check your record and manually mark it as complete if needed. You will be unblocked within 1–2 hours. Apologies for the inconvenience. If you dont hear from us and if your interview continues to be marked incomplete please write to us on sudarshansudarshan@gmail.com 
8.1 Does Vicharanashala send a grade report or evaluation to my university for internship credit?,"Vicharanashala does not send formal evaluation or grade reports to universities - that process is between you and your college. The certificate issued upon completion is the document you can submit to your college or placement office for credit. Whether your college accepts it and how they translate it into a grade is their decision. If your college specifically requires a structured evaluation form or a report on your performance, raise that with them directly - we can provide the certificate and, if earned, a letter of recommendation, but we don't have a process for sending grade reports to universities. "
8.2 Does the Vicharanashala internship certificate specify whether it was completed online or offline ?,"The certificate you receive on completing the internship is the same for both tracks. It is issued by Vicharanashala, IIT Ropar, and does not specify whether you completed it online or on campus. The certificate records only that you completed the internship; the mode is not called out separately on the document. "
8.3 Will the completion certificate be a physical hardcopy or an e-certificate?,"The completion certificate is issued as an e-certificate - you download it from your dashboard on samagama.in after completing both Bronze and Silver. We do not print and mail physical copies. The certificate is digitally signed and authentic, so it cannot be duplicated. It can also be verified from our database using the number on the certificate. "
8.4 Is there a WhatsApp group for candidates during the internship?,No. See for the official communication channels. §6.1 
9.1 What is Rosetta?,"Rosetta is your internship journal - a 65-day document, one entry per day, every day, for the full duration of Summership 2026. You write in it daily, keep it privately, and submit it at the end of the internship as one of your completion requirements. The name comes from the Rosetta Stone - discovered in 1799, it carried the same text in three scripts and became the key to decoding an ancient language that had been silent for centuries. Not because it was grand, but because it was honest and consistent. That is what this journal is meant to be for you. Sixty-five days of honest writing will become the key to understanding your own experience - what you learned, where you struggled, what shifted in you. "
9.2 Why does this exist? Is it just busywork?,"No. It exists for two reasons. For you: Most people go through an intense experience and carry it without processing it. They finish and cannot articulate what they actually learned, what changed in them, or what they would do differently. The journal builds that articulation, one day at a time. Students who reflect regularly during a programme consistently get more out of it than those who do not - not because they work harder, but because they understand what they are doing and why. When you submit Rosetta at the end, it gives us qualitative insight into your experience that no survey or evaluation can capture. We use it to understand what worked, what did not, and how to make the programme better for the next cohort. Your honest voice matters to that process. For us:"
9.3 What is a "thinking routine"?,"Each day in Rosetta has a thinking routine - a short framework that gives your reflection a specific shape. Instead of staring at a blank page and writing ""today was good,"" the routine gives you a specific lens. Examples: The routines rotate across the 65 days so the journal does not feel repetitive or mechanical. Some will feel easy. Some will make you stop and actually think. That is the point. - 3 things you engaged with, 2 questions on your mind, 1 surprise. 03-02-2001 - what is sharp, and what is still foggy. Muddy / Clear You do not need to research the routine or prepare for it. Just read the description at the top of each day's entry and write. - separate facts from meaning from action. "
9.4 How do I get my Rosetta journal?,"Your journal will be shared with you as a Google Doc template link during orientation. Open the link, to your own Google Drive, rename it , and that copy is yours for the full 65 days. make a copy Do not write in the shared template. Always work in your own copy. Rosetta - [Your Name] - Summership 2026 "
9.5 How do I use it day to day?,Simple: Close it and get on with your day. That is it. It should take between 10 and 20 minutes. It is not an essay. It is not a report. It is a journal. Read the thinking routine name and its one-line description. Answer the three prompts in the writing boxes below. 
9.6 How long should each entry be?,"There is no minimum or maximum word count. A good entry is one that is honest and specific. Three to five sentences per prompt is usually enough. If you find yourself writing more because something genuinely needs unpacking, write more. If a day was quiet and you genuinely only have two sentences, that is fine too. not What is acceptable: one-word answers, copy-pasted text, vague non-answers like ""today was productive,"" or anything that reads like it was generated by an AI. "
9.7 What is the one rule?," Write what is true. Not what sounds impressive. Not what you think we want to read. Not a polished summary of the day. If you hated today, write that. If you are confused and frustrated, write that. If something clicked and you are genuinely excited, write that. We will know immediately if an entry reads like an LLM wrote it. Do not do that. The journal only counts as a completion requirement if it is genuinely yours - in your voice, from your actual experience. "
9.8 Can I use ChatGPT or any AI tool to write my entries?,"This is the one firm rule of Rosetta. No. The journal is a record of your thinking, not a demonstration of what an AI can produce on your behalf. Entries that read as AI-generated will not be counted toward your completion requirement. If your entire journal reads this way, the journal will not be accepted. Use AI tools for your technical work if that is permitted in the programme. Do not use them here. "
9.9 What if I miss a day?,"Fill it in as soon as you can. Write the , not the date of the missed entry. Be honest in the entry about the fact that you are writing it late and why. actual date you are filling it in Do not leave entries blank. A late honest entry is always better than no entry. If you find yourself consistently missing entries, that is worth paying attention to. It usually means something else is going wrong. Use Yaksha in chat, or reach out to your scholar. "
9.10 Will anyone read my journal during the internship?,"We will not access your journal during the 65 days. You write it, you keep it, it is yours. No. The only time we read it is after you submit it at the end of the internship. This is intentional - we want you to write freely, without feeling observed. The journal is only useful if it is honest, and it is only honest if you are not performing for an audience. "
9.11 Can the prompts change mid-internship?,"Occasionally we may update a prompt for a specific day based on what is happening in the cohort - a major milestone, a collective challenge, or something the team wants to address directly. When this happens, we will announce it in the before that day begins. Announcements section on samagama.in Check the Announcements section before filling any entry where a change has been announced. If no announcement has been made, use the prompt as written in your document. "
9.12 How do I submit Rosetta at the end?,"On or before Day 65, share your Rosetta Google Doc with the programme coordinator's email address (shared during wrap-up week). Set the sharing permission to . Viewer Make sure: Your name is in the document title - . All 65 entries have been filled in. Rosetta submission is one of the required criteria for receiving your internship certificate. An incomplete or AI-generated journal will not be accepted. Your cover page has your name, product, and team filled in. "
9.13 I have a question about Rosetta that is not answered here. What do I do?,"Ask Yaksha first. If Yaksha cannot answer it, escalate to your programme coordinator. Do not sit on a question - the journal works best when you start it right. "
9.14 My college requires a written confirmation that the internship is self-paced and will not clash with college classes - what document can I share with them?,"This is not a self paced internship, but a very rigorous one which is time demanding. It is not permitted for one to be part of any other activity during this period. "
10.1 I've previously interned with VLED - am I exempt from any coursework?,"If you previously interned with VLED and completed the coursework, you don't need to repeat it this cycle. Yes - partially. However, the You'll need to complete it along with its associated activities. To claim this exemption, simply type the hashtag in your Yaksha chat on Samagama. Yaksha will record your request. #exemption from mern stack course MERN Stack"
10.2 How do I register for the AI Fundamentals course on Vibe?,"Follow these steps: The course will appear instantly on your , ready to watch. Announcements section on samagama.in Vibe sign-in page same Gmail you used to register on Samagama After logging in, in your browser - the second click after login is what enrols you. Complete the brief registration form and submit. "
10.3 I registered on Vibe with a different email than my Samagama email - is that OK?,"Please use the so we can match your Phase 1 progress to your internship record. same email on both platforms The one exception: If the email you used on Samagama is not Gmail (e.g. a college email like , ), you may use to register on Vibe. In that case, tell Yaksha in your Samagama chat using the tag: #vibe-email your-gmail@gmail.com ```` @xyz.ac.in Vibe requires a Gmail address for signup."
10.4 Are live sessions mandatory if I'm on the viva route?,"Whether you're on the coursework track, MERN-exempt (returning intern), or have cleared the viva and moved to Phase 2, you're expected to attend every live session. The exchange of knowledge across our cohort - diverse streams, varying levels of experience - is something self-paced study cannot replicate. Yes - live sessions are mandatory for every intern, regardless of path. "
10.5 Where do I find the daily live-session schedule?,The daily live-session schedule is posted in the at least 1 hour before the session begins. Log in and check the Announcements section during working hours - that is the only channel for session notifications. Announcements section on samagama.in 
10.6 Can we register and start the vibe courses before our internship date formally starts?,You will receive the viBE course link only after your internship starts. You can register and start the viBE courses related to the internship only after your internship formally starts. 
10.7 What are the attendance and participation rules?,"Attendance and participation are tracked , and all of the following are measured continuously over a : strictly Because this is a rolling 5-working-day measure, it reflects your engagement, not a one-time average. This is not a penalty - it simply means you rejoin in a later batch where you can give the programme the full attention it needs. You must be present for at least 85% of the total Zoom meeting time. Live-session attendance - at least 85%. You must respond to the in-session polls and quizzes at least 85% of the times they are run. Live participation - at least 85%. Every quiz must be attempted, and your pass percentage must be at least 50%. rolling window of the last 5 working days"
10.8 What are Spurti Points (SP)? Do they affect my internship?,Spurti Points are a platform feature that tracks your engagement with the programme. They are currently in an early beta phase - not used for any decisions about your standing. See for the full SP FAQ. Section 11 
11.1 What are Spurti Points?,"Spurti Points, or SP, are a points layer on the platform that reflects your overall engagement with the programme. Think of SP as an indicator of your engagement - nothing more. It is not a score that defines you as a student or determines your future in the programme. "
11.2 Is SP a finished system?,No. Spurti Points are still being actively built and refined. SP is best understood as a work in progress rather than a finalised grading or evaluation system. The rules and calculations may evolve as the programme develops. 
11.3 How much importance should I give to my SP number?,"Please do not read too much into the number. SP is an early beta feature. It is meant to give you a broad sense of your engagement, not to measure your performance or determine outcomes. "
11.4 Can I be terminated or excused because of low SP?,"No. The programme team will not terminate, excuse, or take any decision about any intern on the basis of Spurti Points alone. SP is not used as a basis for such decisions. "
11.5 What if my SP shows as zero or even negative?,"There is genuinely no cause for concern. A zero or negative SP balance does not mean you are in trouble with the programme. Because SP is in an early beta phase, the number may not always reflect your actual effort or attendance accurately. "
11.6 Does a higher SP bring any benefits?,"Yes, in a positive way. Interns who build up higher Spurti Points may, from time to time, become eligible for small perks or recognition from the programme team. Think of a higher SP as a pleasant upside to aim for, never as a penalty to fear. "
"11.7 If SP does not determine outcomes, what does?",Your attendance and live participation are what the programme watches closely and tracks strictly. A low SP number is not a cue to ease off. The programme has clear participation requirements that are monitored independently of SP (see §10.7 for the exact thresholds). 
11.8 What are the participation requirements tracked strictly?,"Looking at your most recent five working days on a rolling basis, every intern is expected to meet all three of the following: All three requirements apply simultaneously. Falling short on even one of them counts. of the total live Zoom session time. Stay present for at least 85% of the polls and quizzes run during the sessions. Respond to at least 85% "
11.9 What does "rolling basis" mean?,"The programme does not look at a single average across the entire duration. Instead, it looks at your most recent five working days at any given point in time. As each new working day passes, the oldest day drops out and the newest day is added. This means your recent, consistent engagement is what counts - not a strong performance in one week followed by long absences. The window keeps moving forward. "
11.10 What happens if I fall below the required participation level?,"If any one of the three participation requirements slips below the mark across your most recent five working days, you will be moved from the current batch into a later batch. This is not a termination or an excusal from the programme. It is a practical step so you can rejoin when you are able to give the programme your full attention. "
12.1 I'm unable to type in the chat after clicking 'Interact with Yaksha' - what should I do?,"The chat input is only active after you have clicked the button. If you are still unable to type, scroll up to the top of the page - the button may be above the visible area. Click it once, and the chat field will become active. ""Interact with Yaksha"" "
13.1 How do I log in to ViBe?,"``` https://vibe.vicharanashala.ai/auth ``` Link for the website: Sign up as a student with the registered mail ID into the ViBe platform. ⚠️ Logging in with a different email ID may result in access issues or missing course visibility. To log in to the ViBe platform, follow the steps below carefully: "
13.2 Invite accepted but shows "No course enrolled"?,If you see "No course enrolled": Step 1: Allow Third-Party Cookies "Sites that can always use cookies" Make sure you are logged in with the correct registered email ID. "Block third-party cookies" Check if your college email has multiple aliases and try the correct one. "Allow all cookies." "Add." Log out and log in again once. Step 2: Fix DNS (Most Important)
